servicio,cod_empresa,empresa,centro_poblado,numero_pqrs,latitude,longitude
ENERGIA,23442,COMPA?IA ENERGETICA DE OCCIDENTE S.A.S.  E.S.P.,GUACHENE,142,3.13415024191,-76.3921808995
ENERGIA,23442,COMPA?IA ENERGETICA DE OCCIDENTE S.A.S.  E.S.P.,MERCADERES,141,1.7924236808,-77.1641946504
ENERGIA,44278,CELSIA TOLIMA S.A. E.S.P.,ATACO,140,3.59063460119,-75.3825339259
GAS,618,ALCANOS DE COLOMBIA S.A. E.S.P.,FUSAGASUGA,139,4.33667468248,-74.3754601635
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,TAGANGA,138,11.2680714168,-74.1884713549
ENERGIA,23442,COMPA?IA ENERGETICA DE OCCIDENTE S.A.S.  E.S.P.,CALOTO,138,3.03407175083,-76.4084869367
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,REPELON,136,10.4933403213,-75.1254822303
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,CIENAGA DE ORO,135,8.87550305273,-75.6207853009
GAS,498,SURTIDORA DE GAS DEL CARIBE S.A. EMPRESA DE SERVICIOS PUBLICOS ,TURBACO,134,10.332772802,-75.424409165
ENERGIA,500,EMPRESA DE ENERGIA DE BOYACA S.A. ESP EMPRESA DE SERVICIOS PUBLICOS,GARAGOA,133,5.08324283869,-73.3644267841
ENERGIA,604,CENTRALES ELECTRICAS DEL NORTE DE SANTANDER S.A. ESP,EL CARMEN,133,8.51059912297,-73.4467003188
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,SAMPUES,132,9.18312851604,-75.3802942192
ENERGIA,604,CENTRALES ELECTRICAS DEL NORTE DE SANTANDER S.A. ESP,CHINACOTA,130,7.60295918667,-72.601158456
ENERGIA,44278,CELSIA TOLIMA S.A. E.S.P.,FRESNO,129,5.15363945469,-75.0356196095
ENERGIA,23442,COMPA?IA ENERGETICA DE OCCIDENTE S.A.S.  E.S.P.,BUENOS AIRES,128,3.01543022433,-76.64227784
GAS,484,GASES DEL CARIBE S.A. EMPRESA DE SERVICIOS PUBLICOS ,SABANALARGA,127,10.6328326108,-74.9210950072
GAS,2225,GAS NATURAL CUNDIBOYACENSE SA ESP,CHIA,126,4.86606490054,-74.0503469604
ENERGIA,604,CENTRALES ELECTRICAS DEL NORTE DE SANTANDER S.A. ESP,LABATECA,125,7.29833227871,-72.4958768009
ENERGIA,500,EMPRESA DE ENERGIA DE BOYACA S.A. ESP EMPRESA DE SERVICIOS PUBLICOS,OTANCHE,125,5.65753554395,-74.1809678964
